collection,domain,proposed_twenty_target,raw_authority,canonical_authority,normalization_status,normalization_loss,sync,disposition,critical_notes,source,source_line
accommodation_requests,Accommodation,`candidateAccommodationRequest` restricted projection without medical document by default,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Minimal inbound status/task projection,MAPPED,Medical documentation remains in Directus/restricted store. Evaluators must not see it.,uploaded-artifact-1.md,34
ai_ads_acceptance,AI consent,`aiUseConsentReceipt` external reference,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference/state,REFERENCE_ONLY,Verify applicable notice/consent before candidate-affecting AI. Avoid copying browser fingerprint into recruiter UI.,uploaded-artifact-1.md,35
ai_analysis_application_response,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,36
ai_analysis_culture_fit,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,37
ai_analysis_skills,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,38
ai_analysis_strengths,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,39
ai_analysis_success_insights,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,40
ai_application_analysis,Legacy AI application analysis,`legacyAiAssessmentArtifact` plus optional criterion-level re-evaluation,Directus authoritative history,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference only,LEGACY,"Preserve but quarantine overall match, success probability, culture-fit, ranking, and ungrounded score fields. Exclude from automatic progression and default client reports.",uploaded-artifact-1.md,41
ai_model_registry,AI governance,Canonical/shared `aiModelRegistry` mapping,ADR required: one canonical registry,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Reference or shared synchronization,REFERENCE_ONLY,Do not allow divergent 'current' models across systems.,uploaded-artifact-1.md,42
ai_prompts,Legacy AI prompts,Legacy prompt artifact / migration source,Directus authoritative for existing use,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference or migrate,LEGACY,Do not treat as canonical alongside `prompt_templates` without a versioned mapping.,uploaded-artifact-1.md,43
ai_request_log,AI provider audit,`aiProviderCallLog` or external log reference,Shared governance; avoid unnecessary duplication,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Reference/summary sync,REFERENCE_ONLY,"Full payloads may contain sensitive data. Prefer hashes, metadata, guardrails, latency, provider IDs, and retention policy.",uploaded-artifact-1.md,44
analysis_histories,Candidate services / LinkedIn,No default Twenty target; optional `executiveExternalProfile` or approved artifact,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"Exclude profile engagement, content activity, photo analysis, scores, and coaching usage from selection. Import only verified professional facts or candidate-approved artifacts.",uploaded-artifact-1.md,45
application_information_request,Candidate information request,`candidateInformationRequest`,Split: Twenty may initiate; Directus owns candidate answer,NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,"Outbound request, inbound answer/state",MAPPED,Use shared request ID and idempotency. Candidate-facing wording is reviewed before send.,uploaded-artifact-1.md,46
application_interview_test_sessions,Sandbox/test data,No production target,Directus sandbox only,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,No sync,OUT_OF_SCOPE,Explicitly exclude from production migration and analytics.,uploaded-artifact-1.md,47
application_reference_attachments,Reference workflow,`referenceAttachmentLink`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound,MAPPED,Preserve attach/detach history and application context.,uploaded-artifact-1.md,48
application_reference_requests,Reference workflow,`referenceRequest`,Split: Twenty initiates internal workflow; Directus owns referee token/delivery/candidate interaction,NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,Outbound request; inbound delivery/open/submission/revocation state,MAPPED,Do not copy raw tokens. Use shared request ID and preserve expiry/follow-up controls.,uploaded-artifact-1.md,49
application_reference_submissions,Reference workflow,`referenceSubmission` or secure external artifact,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound restricted reference,REFERENCE_ONLY,"Preserve consent, withdrawal, moderation, approved statement, source, and visibility. Full response is highly restricted.",uploaded-artifact-1.md,50
applications,Portal application and internal candidacy,`portalApplicationProjection` + `searchCandidacy`,"Directus authoritative for candidate submission, answers, withdrawal; Twenty authoritative for internal candidacy state",NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,Inbound candidate submission; outbound candidate-visible status only,MAPPED,An application is one candidacy origin. Passive candidates can have candidacy without application. Preserve `source_application_id`.,uploaded-artifact-1.md,51
applications_assessment,External/application assessment,`externalAssessmentResult`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference,REFERENCE_ONLY,Record provider/contract version/provenance; do not treat unversioned JSON as a canonical professional assessment.,uploaded-artifact-1.md,52
applications_files,Candidate documents,`candidateDocumentLink` / secure `externalFileReference`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound secure reference or governed copy,REFERENCE_ONLY,"Do not expose storage paths. Preserve file ID, hash, MIME, visibility, retention, and consent.",uploaded-artifact-1.md,53
assessment_evidence,AI evidence,`aiEvidence`,Shared governance,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Shared ID/reference,REFERENCE_ONLY,"Preserve source record, field, redacted snippet, offsets, hash, retention, and legal hold.",uploaded-artifact-1.md,54
assessment_guardrail_checks,AI guardrails,`aiGuardrailCheck`,Shared governance,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Shared ID/reference,REFERENCE_ONLY,Preserve check type/version/result/details.,uploaded-artifact-1.md,55
assessment_runs,AI/automated assessment,`aiRun` + `executiveAssessmentRun`,Shared governance,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Shared ID or durable cross-reference,REFERENCE_ONLY,"Preserve model, prompt, rubric, sanitized input/output, hashes, confidence flags, retention, and legal hold.",uploaded-artifact-1.md,56
audit_findings,Responsible AI audit,`aiAuditFinding`,Shared governance,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Shared ID/reference,REFERENCE_ONLY,Use Twenty tasks/remediation workflow while preserving source audit ID.,uploaded-artifact-1.md,57
audit_metrics,Responsible AI audit,`aiAuditMetric`,Shared governance,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Shared ID/reference,REFERENCE_ONLY,Restricted aggregate data with small-group suppression.,uploaded-artifact-1.md,58
audit_runs,Responsible AI audit,`aiAuditRun`,Shared governance,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Shared ID/reference,REFERENCE_ONLY,"Preserve window, model/prompt/rubric and trigger.",uploaded-artifact-1.md,59
avatar_agent_interviews,AI interview,`externalInterviewArtifact` under restrictive policy,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Do not use avatar/voice analytics for emotion, personality, accent, or appearance scoring. Transcript use requires consent and provenance.",uploaded-artifact-1.md,60
brand_audit_benchmarks,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,61
calendly_events,Legacy scheduling import,`externalCalendarEventReference`,Directus/Calendly historical,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only or migration,LEGACY,Do not make this the new canonical interview model.,uploaded-artifact-1.md,62
candidate_demographics_justification,Compliance justification,Restricted compliance record,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,Compliance officer access only; retain legal basis and evidence.,uploaded-artifact-1.md,63
candidate_demographics_voluntary,Voluntary demographics,"Separate restricted audit-only projection, or no individual replication",Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference/aggregate-only by approved policy,REFERENCE_ONLY,"Never expose to ordinary recruiters, search, client reports, or AI selection context.",uploaded-artifact-1.md,64
candidate_stage_events,Candidacy history,`searchCandidacyStageEvent`,Append-only both; Twenty authoritative for future internal stage; Directus owns existing historical events,APPEND_ONLY_BOTH_WITH_SHARED_IDEMPOTENCY,REVIEWED_EXACT,LOSSLESS_RENAME,Initial inbound backfill; future outbound candidate-visible projection and optional mirrored receipt,MAPPED,Never overwrite history. Internal stage and candidate-visible stage are separate.,uploaded-artifact-1.md,65
case_study,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,66
certificate_templates,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,67
chapters,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,68
companies,Client and company identity,Twenty standard `company` + `clientAccountProfile` + external link,Split: Twenty owns internal CRM/search data; Directus owns candidate-facing/public projection until controlled migration,NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,Bidirectional by field ownership,REFERENCE_ONLY,"Use `companies.ats_uuid`. Publish only approved public fields to Directus; keep fees, account strategy, stakeholders, conflicts, and internal notes in Twenty.",uploaded-artifact-1.md,69
company_availability_slots,Scheduling availability,`availabilityOption` / scheduling constraint,Split or legacy Directus,NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,Inbound/backfill; future controlled outbound,LEGACY,Normalize time zone and duration; do not assume date+time without IANA zone.,uploaded-artifact-1.md,70
company_founders,Company public context,`person`/company affiliation or `companyResearchArtifact`,Directus/public source authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Optional inbound,MAPPED,Import only when relevant to client or search research; preserve source and freshness.,uploaded-artifact-1.md,71
company_products,Company research,`companyProduct` or `companyResearchArtifact`,Directus/public source authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Optional inbound,MAPPED,Useful for client context and search briefing; not a client CRM authority.,uploaded-artifact-1.md,72
company_report,Company research,`companyResearchArtifact(type=REPORT)`,Directus or research service authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference,REFERENCE_ONLY,Version and source hash required.,uploaded-artifact-1.md,73
courses,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,74
executive_availability_responses,Candidate scheduling,"`availabilityRequest`, `availabilityOption`, `availabilityResponse`",Directus authoritative for candidate interaction and response,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Twenty outbound request/options; Directus inbound responses,MAPPED,"Use versioned poll, explicit timezone, expiry, and idempotency.",uploaded-artifact-1.md,75
executive_awards,Executive profile,`executiveAward`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound,MAPPED,Retain source and optional verification evidence.,uploaded-artifact-1.md,76
executive_board_bios,Executive artifacts,`executiveArtifact(type=BOARD_BIO)`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference/version projection,REFERENCE_ONLY,"Candidate-approved artifact; preserve version, file references, visibility, and source hash.",uploaded-artifact-1.md,77
executive_board_experience,Board profile,`executiveBoardService`,Directus authoritative for candidate-authored service,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound,MAPPED,"Twenty may enrich board type, ticker, committees, independence review, scale, and evidence without mutating the portal source.",uploaded-artifact-1.md,78
executive_board_fit_assessments,Board assessment,`executiveAssessmentRun` / `externalAssessmentArtifact`,Shared governance decision required,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Inbound reference or canonical shared run,REFERENCE_ONLY,Preserve score evidence. Avoid opaque use; future search assessment should be criterion-level and human-reviewed.,uploaded-artifact-1.md,79
executive_board_preferences,Board profile,`executiveSearchPreference`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound,MAPPED,"Candidate controls board types, industries, company sizes, geography, travel, availability, and compensation expectations.",uploaded-artifact-1.md,80
executive_board_readiness,Candidate coaching assessment,`externalAssessmentArtifact(type=BOARD_READINESS)`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Candidate-facing coaching artifact, not an internal selection decision. Any internal use requires evidence, policy, and human review.",uploaded-artifact-1.md,81
executive_brand_audits,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,82
executive_branding,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,83
executive_branding_articles,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,84
executive_education,Executive profile,`executiveEducation`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound,MAPPED,Normalize dates and institution text while retaining raw source values and candidate confirmation.,uploaded-artifact-1.md,85
executive_education_states,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,86
executive_elevator_pitches,Executive artifacts,`executiveArtifact(type=ELEVATOR_PITCH)`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound secure reference,REFERENCE_ONLY,Client sharing requires candidate consent and confidentiality review.,uploaded-artifact-1.md,87
executive_experience,Executive profile,`executiveCareerExperience`,Directus authoritative for candidate-authored data,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound,MAPPED,"Preserve Directus ID, source timestamps, candidate-confirmed state, and raw source hash; Twenty may add internal verification/evidence without overwriting source.",uploaded-artifact-1.md,88
executive_favorites,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,89
executive_favorites_opportunities,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,90
executive_impact_reports,Executive artifacts,`executiveArtifact(type=IMPACT_REPORT)`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference/version projection,REFERENCE_ONLY,"Narrative fields such as cultural fit are artifacts, not independently verified selection evidence.",uploaded-artifact-1.md,91
executive_languages,Executive profile,`executiveLanguage`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound,MAPPED,Normalize proficiency through a versioned enum map.,uploaded-artifact-1.md,92
executive_opportunity_dashboard_analysis,Executive-opportunity analysis,`executiveSearchDossier`/`criterionEvaluation` reference,Directus authoritative for existing generations; Twenty future governed assessment,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference; future shared canonical run,REFERENCE_ONLY,"Preserve canonical key, contract/rubric version, source hash, generation IDs, freshness, and assessment run. Overall score is non-authoritative.",uploaded-artifact-1.md,93
executive_opportunity_description_highlights,Executive-opportunity analysis,`dossierEvidenceHighlight`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference,REFERENCE_ONLY,"Preserve description hash and source; treat as display assistance, not selection evidence by itself.",uploaded-artifact-1.md,94
executive_opportunity_dossier_evidence,Executive-opportunity dossier,`aiEvidence`/`dossierEvidence`,Shared/derived,DERIVED_IN_TWENTY_FROM_DIRECTUS,REVIEWED_QUALIFIED,DIRECTION_REQUIRES_ADR,Shared ID/reference,REFERENCE_ONLY,Preserve evidence key/type/state/source reference.,uploaded-artifact-1.md,95
executive_opportunity_dossier_runs,Executive-opportunity dossier,`aiRun`/`dossierGenerationRun`,Shared/derived,DERIVED_IN_TWENTY_FROM_DIRECTUS,REVIEWED_QUALIFIED,DIRECTION_REQUIRES_ADR,Shared ID/reference,REFERENCE_ONLY,"Preserve request reason, status, source hash, version, errors, timestamps.",uploaded-artifact-1.md,96
executive_opportunity_dossiers,Executive-opportunity dossier,`executiveSearchDossier`,Shared/derived,DERIVED_IN_TWENTY_FROM_DIRECTUS,REVIEWED_QUALIFIED,DIRECTION_REQUIRES_ADR,Shared ID or inbound projection,MAPPED,"Preserve source hash, dossier version, source snapshot, generated/expiry dates, why-this-seat, diligence questions, and missing evidence.",uploaded-artifact-1.md,97
executive_opportunity_single_page_analysis,Executive-opportunity analysis,`legacyAiAssessmentArtifact`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference,LEGACY,Candidate-facing analysis; do not promote raw score into internal selection.,uploaded-artifact-1.md,98
executive_psychographic,Restricted legacy assessment,Restricted external artifact only,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Not allowed to sync into ordinary search/AI context,LEGACY,Do not use psychographic/personality data for automated selection by default.,uploaded-artifact-1.md,99
executive_quiz_states,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,100
executive_references,Reference vault,`executiveReferenceVaultEntry`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference,REFERENCE_ONLY,Distinguish candidate-profile endorsements from confidential search-specific references.,uploaded-artifact-1.md,101
executives,Executive identity,Twenty `person` + native `executiveProfile` + `externalEntityLink`,Split: Directus owns candidate-authored profile; Twenty owns internal relationship/search fields,NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,Inbound projection; outbound only verified ATS ID and explicitly candidate-visible updates,REFERENCE_ONLY,"Use `executives.ats_uuid` after identity verification. Never sync subscription, premium, product-limit, birthdate, gender, or commercial fields into selection/search contexts.",uploaded-artifact-1.md,102
executive_settings,Portal preferences,`portalPreferenceProjection` for a strict allowlist only,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Selective inbound/reference only,REFERENCE_ONLY,"Never sync Stripe, password/security placeholders, subscription controls, product engagement, or candidate-service telemetry into search delivery.",uploaded-artifact-1.md,103
executive_skills,Executive profile,`executiveCapability` with `source=CLAIMED`,Directus authoritative for claimed skill; Twenty authoritative for verified/internal evidence,NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,Inbound,MAPPED,"Keep claimed, recruiter-verified, and AI-suggested capability states separate.",uploaded-artifact-1.md,104
