collection,domain,proposed_twenty_target,raw_authority,canonical_authority,normalization_status,normalization_loss,sync,disposition,critical_notes,source,source_line
executive_social_media,Executive profile,`executiveExternalProfile`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound/reference,REFERENCE_ONLY,Only job-relevant professional profiles may enter research; prohibit lifestyle/social surveillance.,uploaded-artifact-1.md,105
glossary_bookmarks,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,106
glossary_search_events,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,107
glossary_terms,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,108
goal_templates,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,109
improvement_goals,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,110
industries,Taxonomy,`industryTaxonomy` seed/reference,Shared/versioned taxonomy decision,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Versioned seed sync,REFERENCE_ONLY,Normalize but retain Directus source values and taxonomy version.,uploaded-artifact-1.md,111
insights,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,112
interview_scheduling_polls,Candidate scheduling,"`availabilityRequest`, `availabilityOption`, `availabilityResponse`",Directus authoritative for candidate interaction and response,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Twenty outbound request/options; Directus inbound responses,MAPPED,"Use versioned poll, explicit timezone, expiry, and idempotency.",uploaded-artifact-1.md,113
interview_time_slots,Candidate scheduling,"`availabilityRequest`, `availabilityOption`, `availabilityResponse`",Directus authoritative for candidate interaction and response,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Twenty outbound request/options; Directus inbound responses,MAPPED,"Use versioned poll, explicit timezone, expiry, and idempotency.",uploaded-artifact-1.md,114
issued_certificates,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,115
languages,Taxonomy,`languageTaxonomy` seed/reference,Shared/versioned taxonomy decision,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Versioned seed sync,REFERENCE_ONLY,Prefer standard language codes while retaining original labels.,uploaded-artifact-1.md,116
learning_path_courses,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,117
learning_path_progress,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,118
learning_paths,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,119
linkedin_calendar_slots,Candidate services / LinkedIn,No default Twenty target; optional `executiveExternalProfile` or approved artifact,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"Exclude profile engagement, content activity, photo analysis, scores, and coaching usage from selection. Import only verified professional facts or candidate-approved artifacts.",uploaded-artifact-1.md,120
linkedin_chat_messages,Candidate services / LinkedIn,No default Twenty target; optional `executiveExternalProfile` or approved artifact,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"Exclude profile engagement, content activity, photo analysis, scores, and coaching usage from selection. Import only verified professional facts or candidate-approved artifacts.",uploaded-artifact-1.md,121
linkedin_content_goals,Candidate services / LinkedIn,No default Twenty target; optional `executiveExternalProfile` or approved artifact,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"Exclude profile engagement, content activity, photo analysis, scores, and coaching usage from selection. Import only verified professional facts or candidate-approved artifacts.",uploaded-artifact-1.md,122
linkedin_generated_posts,Candidate services / LinkedIn,No default Twenty target; optional `executiveExternalProfile` or approved artifact,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"Exclude profile engagement, content activity, photo analysis, scores, and coaching usage from selection. Import only verified professional facts or candidate-approved artifacts.",uploaded-artifact-1.md,123
linkedin_profiles,Candidate services / LinkedIn,No default Twenty target; optional `executiveExternalProfile` or approved artifact,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"Exclude profile engagement, content activity, photo analysis, scores, and coaching usage from selection. Import only verified professional facts or candidate-approved artifacts.",uploaded-artifact-1.md,124
linkedin_recommendations,Candidate services / LinkedIn,No default Twenty target; optional `executiveExternalProfile` or approved artifact,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"Exclude profile engagement, content activity, photo analysis, scores, and coaching usage from selection. Import only verified professional facts or candidate-approved artifacts.",uploaded-artifact-1.md,125
magic_auth_challenges,Candidate authentication,No Twenty operational target,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,No sync except aggregate health telemetry,MAPPED,"Never copy OTP/token ciphertext/hash, attempts, or auth secrets into ATS records.",uploaded-artifact-1.md,126
magic_auth_events,Candidate authentication,No Twenty operational target,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,No sync except aggregate health telemetry,MAPPED,"Never copy OTP/token ciphertext/hash, attempts, or auth secrets into ATS records.",uploaded-artifact-1.md,127
meilisearch_settings,Directus infrastructure,No Twenty target,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,No sync,PORTAL_ONLY,Contains search infrastructure/API-key configuration; never replicate.,uploaded-artifact-1.md,128
minimax_matching_job_items,Legacy AI matching operations,External AI job reference,Directus authoritative unless migrated,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only or controlled migration,LEGACY,Future matching should use governed criterion/evidence records; never run two executors on the same job.,uploaded-artifact-1.md,129
minimax_matching_jobs,Legacy AI matching operations,External AI job reference,Directus authoritative unless migrated,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only or controlled migration,LEGACY,Future matching should use governed criterion/evidence records; never run two executors on the same job.,uploaded-artifact-1.md,130
modules,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,131
onboarding_data,Candidate onboarding,No direct operational target; selected confirmed facts already project through `executives` and child collections,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Do not duplicate raw voice/onboarding sessions. Any use requires consent, retention enforcement, and source provenance.",uploaded-artifact-1.md,132
onboarding_interview_consents,Candidate onboarding,No direct operational target; selected confirmed facts already project through `executives` and child collections,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Do not duplicate raw voice/onboarding sessions. Any use requires consent, retention enforcement, and source provenance.",uploaded-artifact-1.md,133
onboarding_interview_sessions,Candidate onboarding,No direct operational target; selected confirmed facts already project through `executives` and child collections,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Do not duplicate raw voice/onboarding sessions. Any use requires consent, retention enforcement, and source provenance.",uploaded-artifact-1.md,134
onboarding_interview_turns,Candidate onboarding,No direct operational target; selected confirmed facts already project through `executives` and child collections,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Do not duplicate raw voice/onboarding sessions. Any use requires consent, retention enforcement, and source provenance.",uploaded-artifact-1.md,135
onboarding_quick_sessions,Candidate onboarding,No direct operational target; selected confirmed facts already project through `executives` and child collections,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Do not duplicate raw voice/onboarding sessions. Any use requires consent, retention enforcement, and source provenance.",uploaded-artifact-1.md,136
openai_batches,AI operational queue,External AI batch reference,Directus authoritative unless executor is deliberately migrated,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,Do not duplicate active batch ownership across systems.,uploaded-artifact-1.md,137
opportunities,Published executive opportunity,Native `executiveSearchPosition` linked to `searchAssignment`,Twenty authoritative for future internal and publishable position data; Directus authoritative for existing records during migration,TWENTY_AUTHORITATIVE,REVIEWED_QUALIFIED,MIGRATION_STATE_RETAINED_IN_RAW,"Controlled bidirectional migration, then outbound publish plus inbound portal state as needed",MAPPED,"Use `opportunities.ats_uuid`. Do not confuse with Twenty CRM `opportunity`, which represents a business-development deal.",uploaded-artifact-1.md,138
pitch_practice_analyses,Candidate services / pitch practice,No default Twenty target; optional approved `executiveArtifact`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Private rehearsal data stays in Directus. Only an explicitly selected, consented artifact may be shared with Twenty/client workflows.",uploaded-artifact-1.md,139
pitch_practice_artifacts,Candidate services / pitch practice,No default Twenty target; optional approved `executiveArtifact`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Private rehearsal data stays in Directus. Only an explicitly selected, consented artifact may be shared with Twenty/client workflows.",uploaded-artifact-1.md,140
pitch_practice_consents,Candidate services / pitch practice,No default Twenty target; optional approved `executiveArtifact`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Private rehearsal data stays in Directus. Only an explicitly selected, consented artifact may be shared with Twenty/client workflows.",uploaded-artifact-1.md,141
pitch_practice_takes,Candidate services / pitch practice,No default Twenty target; optional approved `executiveArtifact`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Private rehearsal data stays in Directus. Only an explicitly selected, consented artifact may be shared with Twenty/client workflows.",uploaded-artifact-1.md,142
pitch_practice_usage,Candidate services / pitch practice,No default Twenty target; optional approved `executiveArtifact`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only,REFERENCE_ONLY,"Private rehearsal data stays in Directus. Only an explicitly selected, consented artifact may be shared with Twenty/client workflows.",uploaded-artifact-1.md,143
profile_analyses,Candidate services / LinkedIn,No default Twenty target; optional `executiveExternalProfile` or approved artifact,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"Exclude profile engagement, content activity, photo analysis, scores, and coaching usage from selection. Import only verified professional facts or candidate-approved artifacts.",uploaded-artifact-1.md,144
prompt_templates,AI governance,Canonical/shared `aiPromptTemplate`,ADR required: one canonical registry,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Reference or shared synchronization,REFERENCE_ONLY,"Preserve version, effective dates, input contract, banned inputs, output schema, and target model.",uploaded-artifact-1.md,145
quizzes,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,146
reference_audit_log,Reference audit,External audit reference or shared immutable audit,Directus authoritative,APPEND_ONLY_BOTH_WITH_SHARED_IDEMPOTENCY,REVIEWED_EXACT,LOSSLESS_RENAME,Reference/append-only,REFERENCE_ONLY,Never rewrite.,uploaded-artifact-1.md,147
reference_dimensions,Reference taxonomy,`referenceDimension`,Shared seeded taxonomy,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Versioned seed sync,REFERENCE_ONLY,Do not mutate historical meaning; reference submissions pin taxonomy version.,uploaded-artifact-1.md,148
reference_email_log,Reference delivery,`externalMessageDeliveryReference`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound operational status,REFERENCE_ONLY,Use for suppression/caps and delivery health; keep raw contact data restricted.,uploaded-artifact-1.md,149
reference_embeds,Reference presentation,`referencePresentationLink`,Directus authoritative for existing explicit placements,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound/reference,REFERENCE_ONLY,Client visibility requires consent and target-specific approval.,uploaded-artifact-1.md,150
reference_referees,Reference contacts,`referenceContact`,Directus authoritative for candidate-managed referee,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound restricted,MAPPED,"Hashed identity, contact details, consent/relationship, and AI signal require restricted permissions.",uploaded-artifact-1.md,151
reference_relationships,Reference taxonomy,`referenceRelationship`,Shared seeded taxonomy,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Versioned seed sync,REFERENCE_ONLY,Pin version on request/submission.,uploaded-artifact-1.md,152
research_job_results,Directus research engine,Optional `externalResearchJobReference`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only if active,REFERENCE_ONLY,The schema exposes no fields for these collections in the snapshot. Do not guess the contract; inspect the live API before integration.,uploaded-artifact-1.md,153
research_jobs,Directus research engine,Optional `externalResearchJobReference`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only if active,REFERENCE_ONLY,The schema exposes no fields for these collections in the snapshot. Do not guess the contract; inspect the live API before integration.,uploaded-artifact-1.md,154
research_job_updates,Directus research engine,Optional `externalResearchJobReference`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference-only if active,REFERENCE_ONLY,The schema exposes no fields for these collections in the snapshot. Do not guess the contract; inspect the live API before integration.,uploaded-artifact-1.md,155
retention_action_log,Retention audit,`retentionActionReference` / shared audit,Shared by action origin,APPEND_ONLY_BOTH_WITH_SHARED_IDEMPOTENCY,REVIEWED_EXACT,LOSSLESS_RENAME,Append-only reference/reconciliation,REFERENCE_ONLY,Deletion/anonymization must propagate to synchronized projections and derived AI/search data.,uploaded-artifact-1.md,156
roles_board_openings,Position specification,`positionSpecification` + `searchCriterion`,Migrate toward Twenty authoritative,TWENTY_AUTHORITATIVE,REVIEWED_QUALIFIED,MIGRATION_STATE_RETAINED_IN_RAW,Initial inbound/backfill; later outbound projection,MAPPED,"Preserve raw must-have/nice-to-have JSON and role IDs. Convert to structured, versioned, client-approved criteria.",uploaded-artifact-1.md,157
scenario_decisions,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,158
scenarios,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,159
scenario_steps,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,160
scheduled_interviews,Interview,`searchInterview` linked to Twenty `calendarEvent`,Split: Twenty owns internal orchestration after confirmation; Directus owns candidate confirmation/display,NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,Bidirectional by event/state,MAPPED,"Use Directus ID link. Reconcile schedule, cancellation, candidate confirmation, and safe meeting details.",uploaded-artifact-1.md,161
scheduling_poll_options,Generic scheduling,Optional generic scheduling adapter records,Directus authoritative for existing polls,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference/backfill; use only if this is the active scheduling path,REFERENCE_ONLY,Avoid maintaining two competing poll models. Choose one active contract in an ADR.,uploaded-artifact-1.md,162
scheduling_poll_participants,Generic scheduling,Optional generic scheduling adapter records,Directus authoritative for existing polls,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference/backfill; use only if this is the active scheduling path,REFERENCE_ONLY,Avoid maintaining two competing poll models. Choose one active contract in an ADR.,uploaded-artifact-1.md,163
scheduling_poll_responses,Generic scheduling,Optional generic scheduling adapter records,Directus authoritative for existing polls,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference/backfill; use only if this is the active scheduling path,REFERENCE_ONLY,Avoid maintaining two competing poll models. Choose one active contract in an ADR.,uploaded-artifact-1.md,164
scheduling_polls,Generic scheduling,Optional generic scheduling adapter records,Directus authoritative for existing polls,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Reference/backfill; use only if this is the active scheduling path,REFERENCE_ONLY,Avoid maintaining two competing poll models. Choose one active contract in an ADR.,uploaded-artifact-1.md,165
scoring_rubrics,Assessment rubric,`assessmentRubric` or migrate into `searchCriterion`/assessment template,Shared/migration decision,REFERENCE_ONLY_NO_REPLICATION,REVIEWED_FAIL_CLOSED,UNRESOLVED_SHARED_AUTHORITY,Inbound then versioned ownership,REFERENCE_ONLY,Preserve historical versions and cutoffs. Do not silently reinterpret prior results.,uploaded-artifact-1.md,166
social_login_events,Candidate authentication telemetry,No Twenty target,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,No sync or aggregate telemetry only,MAPPED,Do not use login behavior in selection.,uploaded-artifact-1.md,167
term_diagrams,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,168
term_images,Candidate services / education,No default Twenty record; optional approved credential/artifact reference,Directus authoritative,NOT_ALLOWED_TO_SYNC,REVIEWED_EXACT,STRONGER_FAIL_CLOSED,Reference-only or no sync,REFERENCE_ONLY,"These support the executive portal, education, branding, and content. They must not become selection proxies. A specific credential may be referenced only when candidate-authorized and job-related.",uploaded-artifact-1.md,169
tos_acceptance,Consent and legal receipt,External consent receipt reference,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Inbound reference/status,REFERENCE_ONLY,Preserve receipt/version/signature metadata as needed; do not copy browser fingerprint or raw IP into recruiter UI.,uploaded-artifact-1.md,170
user_contest_ai_score,AI contest/appeal,`aiAssessmentContest`,Directus authoritative for candidate submission; Twenty authoritative for internal review/resolution workflow if chosen,NOT_ALLOWED_TO_SYNC,REVIEWED_FIELD_SPLIT_REQUIRED,COLLECTION_AUTHORITY_WITHHELD,Inbound contest; outbound resolution,MAPPED,"Preserve original score/evidence/input snapshots, model/prompt, supporting links, reviewer, and resolution.",uploaded-artifact-1.md,171
directus_files,External files,`externalFileReference` or governed copy into Twenty attachment/file system,Directus authoritative unless explicitly copied,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Secure reference or controlled copy,REFERENCE_ONLY,"Preserve public/private classification, MIME, size, hash, owner, retention, and signed access. Never expose disk filename/storage path.",uploaded-artifact-1.md,172
directus_users,Candidate portal identity,`externalPortalIdentity` linked to `person`/`executiveProfile`,Directus authoritative,DIRECTUS_AUTHORITATIVE,REVIEWED_QUALIFIED,QUALIFIERS_RETAINED_IN_RAW,Minimal identity link only,REFERENCE_ONLY,"Never replicate password hash, token, TFA secret, auth data, role internals, or security settings.",uploaded-artifact-1.md,173
